elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered,tip_interval_s,tip_valid,bucket_intensity_mm_hr,saturation_flag,interval_rms,calib_pair_used,pair_quality_reason,intensity_mic_mm_hr,intensity_fused_mm_hr,intensity_mode
0.0,1773031948.6802967,15376358,11,4,3161773,1,0.03814315575469839,20.827853703164504,0.20827853703164503,3161.773,True,0.03814315575469839,False,0.0,False,too_few_samples,0.0,0.03814315575469839,UNCALIBRATED
0.049,1773031948.7292967,15376407,12,4,3161773,1,0.0,21.5836249209525,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.099,1773031948.7792966,15376457,11,4,3161773,1,0.0,20.827853703164504,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.149,1773031948.8292966,15376507,19,4,3161773,1,0.0,25.575072019056577,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.2,1773031948.8802967,15376558,13,4,3161773,1,0.0,22.278867046136735,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.249,1773031948.9292967,15376607,11,4,3161773,1,0.0,20.827853703164504,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.299,1773031948.9792967,15376657,12,4,3161773,1,0.0,21.5836249209525,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.349,1773031949.0292966,15376707,21,4,3161773,1,0.0,26.444385894678387,0.20827853703164503,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.399,1773031949.0792966,15376757,12,4,3161773,1,0.0,21.5836249209525,1.9379470435758959,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.448,1773031949.1282966,15376806,11,4,3161773,1,0.0,20.827853703164504,2.126846110171782,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.499,1773031949.1792967,15376857,11,4,3161773,1,0.0,20.827853703164504,2.313856186101709,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.549,1773031949.2292967,15376907,26,4,3161773,1,0.0,28.29946695941636,2.5737122938348556,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.648,1773031949.3282967,15377006,11,4,3161773,1,0.0,20.827853703164504,2.7562537079281517,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.698,1773031949.3782966,15377056,15,4,3161773,1,0.0,23.521825181113627,2.9639094226600062,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.799,1773031949.4792967,15377157,16,4,3161773,1,0.0,24.082399653118497,3.175094324964591,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.848,1773031949.5282967,15377206,19,4,3161773,1,0.0,25.575072019056577,3.3990941019055105,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.898,1773031949.5782967,15377256,12,4,3161773,1,0.0,21.5836249209525,3.58093941009598,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.948,1773031949.6282966,15377306,20,4,3161773,1,0.0,26.020599913279625,3.8053360151278164,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.998,1773031949.6782966,15377356,11,4,3161773,1,0.0,20.827853703164504,3.975561192008183,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.047,1773031949.7272966,15377405,24,4,3161773,1,0.0,27.60422483423212,4.211847828430423,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.098,1773031949.7782967,15377456,15,4,3161773,1,0.0,23.521825181113627,4.404947601957255,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.148,1773031949.8282967,15377506,19,4,3161773,1,0.0,25.575072019056577,4.616648846128248,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.198,1773031949.8782966,15377556,13,4,3161773,1,0.0,22.278867046136735,4.793271028128333,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
